base_code,target_code,rate,time_last_update_utc,time_next_update_utc,time_next_update_unix,time_last_update_unix
USD,HKD,7.8504,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,HNL,26.1194,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,HRK,6.541,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,HTG,130.9977,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,HUF,349.5887,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,IDR,16401.8113,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,ILS,3.4876,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,IMP,0.7427,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,INR,86.6806,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,IQD,1309.7992,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,IRR,42023.9906,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,ISK,124.0193,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,JEP,0.7427,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,JMD,159.7827,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,JOD,0.709,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,JPY,145.8143,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,KES,129.1544,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,KGS,87.4433,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,KHR,4021.8524,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,KID,1.5469,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,KMF,427.0967,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,KRW,1370.6316,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,KWD,0.3062,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,KYD,0.8333,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,KZT,520.7073,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,LAK,21718.3917,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,LBP,89500.0,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,LKR,300.3998,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,LRD,199.859,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,LSL,18.0015,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,LYD,5.433,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,MAD,9.1373,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,MDL,17.17,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,MGA,4452.5967,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,MKD,53.4311,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,MMK,2099.0561,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,MNT,3604.2677,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,MOP,8.0859,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
USD,MRU,39.7201,2025-06-22 00:00:02+00:00,2025-06-23 00:00:02+00:00,1750636802,1750550402
